standort_equipment;technplatzbezeichng;equipment;equipmentname;ort;wirtschaftseinheit;hersteller;baujahr;antriebsart;anzahl_haltestellen;anzahl_tueren_kabine;anzahl_tueren_schacht;foerdergeschwindigkeit;foerderhoehe;lage;tragkraft;erweiterte_ortsangabe;min_tuerbreite;kabinentiefe;kabinenbreite;kabinenhoehe;tuerhohe;fabriknummer;tuerart;geokoordinaterechtswert;geokoordinatehochwert;ausftextlichebeschreibung
MITTELBAHNSTEIG;Bahnsteig 01;10069688;HA 0003 Aufzugsanlage Bstg;Frechen-Königsdorf;2306;OTIS GmbH & Co. OHG;2004;HYDRAULISCH;     2;;;;;;;;;;;;;;;    3343911,4619999998;    5646933,7419999996;
INSELBAHNSTEIG;Bahnsteig 2/3;10070520;Personenaufzug Inselbahnsteig;Dresden-Klotzsche;1351;Thyssen Krupp AG;2002;HYDRAULISCH;     2;     2;     2;     0,4;     4;;    1050;;;;;;;;;    3835334,4010000001;    5675282,4390000002;Aufzug zu Bstg 2/3
HAUSBAHNSTEIG;Bahnsteig 1/1A;10070522;Personenaufzug Hausbahnsteig;Dresden-Klotzsche;1351;Thyssen Krupp AG;2002;HYDRAULISCH;     2;     2;     2;     0,4;     4;;    1050;;;;;;;;;    3835318,5019999999;    5675288,6339999996;Aufzug zu Bstg 1/1A
;Bahnsteig 4 Ri Berlin;10070597;AZ Tunnel Ri. Berlin 244098703;Luckenwalde;3827;Thyssen Krupp AG;1999;HYDRAULISCH;     2;     1;     1;     0,4;     4,97;BSTG. ANFANG;    1000;BSTG. ANFANG;    1000;    2180;    1130;    2200;    2100;244098703;ZS2;    3785164,3659999999;    5781138,6770000001;Aufzug zu Bstg 4 (Anfang) Richtung Berlin
;Bahnsteig 3 Ri Jüterbog;10070610;AZ Tunnel Ri. Jüterbog 244098704;Luckenwalde;3827;Thyssen Krupp AG;1999;HYDRAULISCH;     2;     1;     1;     0,4;     4,97;BSTG. ANFANG;    1000;BSTG. ANFANG;    1000;    2180;    1130;    2200;    2100;244098704;ZS2;    3785139,8820000002;    5781154,0539999995;Aufzug zu Bstg 3 (Anfang) Richtung Jüterbog
;Inselbahnsteig 1 / 2;10070652;AZ Fabrik.Nr.:198163;Berlin-Staaken;564;Friedrich-Aufzüge GmbH & Co. K;1999;SEIL;     2;     1;     2;     1;     7,45;UNTER BRUECKE BSTG. ENDE;    1100;UNTER BRUECKE BSTG. ENDE;    1000;    2200;    1150;    2050;    2000;198163;ZS2;;;Aufzug zwischen Bstg 1/2 (Ende) und Brücke
BSTG.1-STRASSE;Personenaufzug HA 0026;10071230;Personenaufzug HA 0026;Essen-Borbeck;2054;Haushahn GmbH & Co. KG;1999;HYDRAULISCH;     2;     2;     2;     0,5;     5,12;NEBEN;    975;"GL1;AUSG";    1100;    1800;    1100;    2150;    2100;98/1526;ZS2;;;Aufzug zu Gleis 1
;Inselbstg 1/2, 1=Ludwigsfelde, 2= Stenda;10071488;AZ Fabrik.Nr.:97.1.017;Rathenow;5131;OTIS GmbH & Co. OHG;1997;HYDRAULISCH;     2;     1;     1;     0,6;     5,075;PERSONENTUNNEL AM EG;    630;PERSONENTUNNEL AM EG;    1005;    1510;    1200;    2200;    2000;97.1.017;ZS2;;;Aufzug zwischen Bstg 1/2 Richtung Ludwigsfelde/Stenda und Tunnel (Erdgeschoss)
TUNNEL, ZUGANG BSTG. 3;S-Bahnsteig 03 (Gl. 5);10071924;Personenaufzug HA 059;Hamburg-Bergedorf;2518;Hütter Aufzüge GmbH;1997;HYDRAULISCH;     2;     2;     4;     0,6;     4,76;;    630;;;;;;;;;;;
BAHNSTEIG GLEIS 3/4;Bahnsteig 2;10072184;HA 0052 Aufzugsanlage;Porz-Wahn;5002;Tepper Aufzüge GmbH;2006;HYDRAULISCH;     2;     2;     2;     0,8;     4,46;;    800;;;;;;;;;    3364827,0329999998;    5637621,1509999996;Aufzug zu Gleis 3/4
BAHNSTEIG GLEIS 1/2;Bahnsteig 1;10072185;HA 0051 Aufzugsanlage;Porz-Wahn;5002;Tepper Aufzüge GmbH;2006;SEIL;     2;     2;     2;     0,6;     4,46;;    800;;;;;;;;;    3364827,0699999998;    5637621,4340000004;Aufzug zu Gleis 1/2
BSTG 1- P-TUNNEL;Personenaufzug Bstg 1;10074820;Personenaufzug  HA 1175;Castrop-Rauxel Hbf;1033;Thyssen Krupp AG;2000;HYDRAULISCH;     2;     2;     2;     0,5;     4,270000000000001;NEBEN;    1025;"GL1;0OG";    1100;    1600;    1255;    2270;    2100;244229704;ZS2;;;Aufzug zwischen Gleis 1 und Tunnel (Erdgeschoss)
FAHRSTUHL BSTG 2;Personenaufzug Bstg 2;10074825;Personenaufzug  HA 1176;Castrop-Rauxel Hbf;1033;Thyssen Krupp AG;2000;HYDRAULISCH;     2;     2;     2;     0,5;     4,55;NEBEN;    1025;"GL2;GL3;0OG";    1100;    1600;    1255;    2270;    2100;244229705;ZS2;;;Aufzug zwischen Gleis 2/3 und Erdgeschoss
GL.6/7;Inselbahnsteig, Gleis 6 / 7;10075266;AZ Fabrik.Nr.:1352139;Potsdam Hbf;5012;Kone GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,45;     6,165;BSTG MITTE;    1000;BSTG MITTE;    1000;    2200;    1150;    2200;    2100;1352139;ZS2;;;Aufzug zu Gleis 6/7 (Mitte)
;Inselbahnsteig, Gleis 1 / 3 ( A );10075283;AZ Fabrik.Nr.:1352137;Potsdam Hbf;5012;Kone GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,45;     6,365;BSTG MITTE;    1000;BSTG MITTE;    1000;    2200;    1100;    2200;    2100;1352137;ZS2;;;Aufzug zu Gleis 1/3 (Mitte)
;Inselbahnsteig, Gleis 2 / 4 ( B );10075344;AZ Fabrik.Nr.: 1352138;Potsdam Hbf;5012;Kone GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,45;     6,365;BSTG MITTE;    1000;BSTG MITTE;    1000;    2200;    1100;    2200;    2100;1352138;ZS2;;;Aufzug zu Gleis 2/4 (Mitte)
;Bahnsteig 2/3;10078263;Personenaufzug;Sonneberg (Thür) Hbf;5904;Thyssen Krupp AG;1998;SEIL;     2;     1;     2;;;;;;;;;;;;;    3654444,2969999998;    5582186,2309999997;Aufzug zu Bstg 2/3
;Bahnsteig 3/4  Gl. 3/4    Inselbahnsteig;10078557;Personenaufzug Bahnsteig 3/4;Bad Schandau;335;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;;;    1025;;;;;;;;;    3861348,9730000002;    5655209,9539999999;Aufzug zu Gleis 3/4
AUFZUG BAHNSTEIG 1/2 PIRNA;Inselbahnsteig 1/2;10079174;Personenaufzug Pirna Bstg. 1/2;Pirna;4943;Thyssen Krupp AG;2002;HYDRAULISCH;     2;     2;     2;     0,44;     4;;    1050;;;;;;;;;    3846348,5610000002;    5659113,6749999998;Aufzug zu Bstg 1/2
BAHNSTEIG;Inselbahnsteig 1/2;10079969;Personenaufzug;Dresden-Niedersedlitz Hp;1353;Thyssen Krupp AG;2002;HYDRAULISCH;     2;     2;     2;     0,4;     4;;    1050;;;;;;;;;    3838924,2779999999;    5662734,0970000001;Aufzug zu Bstg 1/2
DRESDEN ZSCHACHWITZ;Personentunnel;10080532;Personenaufzug zum Bstg;Dresden-Zschachwitz;1360;Thyssen Krupp AG;2002;HYDRAULISCH;     2;     2;     2;     0,4;     6,5;;    1050;;;;;;;;;;;Aufzug zwischen Bstg und Tunnel
BAHNSTEIG;Personentunnel;10081167;Personenaufzug zum Bstg Nr. 43;Heidenau Süd;2637;Thyssen Krupp AG;2002;HYDRAULISCH;     2;     2;     2;     0,4;     4;;    1050;;;;;;;;;    3842355,3300000001;    5659852,6169999996;Aufzug zwischen Bstg und Tunnel
;Inselbahnsteig 1/2;10081175;Personenaufzug Nr. 44;Heidenau-Großsedlitz;2638;Thyssen Krupp AG;2000;HYDRAULISCH;     2;     2;     2;     0,4;     5;;    1050;;;;;;;;;    3843822,6660000002;    5658734,4579999996;Aufzug zu Bstg 1/2
;Empfangsgebäude;10082493;AZ Halle UG-OG (Panorama)/F-Nr: 47KK8043;Berlin-Lichtenberg;549;OTIS GmbH & Co. OHG;1997;HYDRAULISCH;     3;     1;     3;     0,41;     7,82;INNEN;    2500;"HAUPTHALLE;-1;0;1";    1100;;    2500;    2200;    2100;47KK8043;ZS2;;;
BAHNSTEIG 2;Bahnsteig 2;10082969;Personenaufzug HA 0382;Albstadt-Ebingen;47;Stricker Aufzüge Gmbh;1999;HYDRAULISCH;     2;     2;     2;     0,53;     5;BAHNSTEIG 2;    700;;;;;;;;;;;Aufzug zu Bstg 2
;Inselbahnsteig;10083014;Personenaufzug;Freital-Deuben;1911;Thyssen Krupp AG;2003;SEIL;     2;     1;     2;;     5,34;;    1000;;;;;;;;;    3826171,3500000001;    5661845,7249999996;
S-BAHNSTEIG;Kopfbahnsteig 1/2;10083852;Personenaufzug;Dresden Flughafen;8016;Thyssen Krupp AG;2002;HYDRAULISCH;     2;     2;     2;     0,4;     4;;    1025;;;;;;;;;;;Aufzug zu Bstg 1/2
GLEIS 1/2;Bahnsteig 01;10084470;Personenaufzug 21259;Anderten-Misburg;145;Tepper Aufzüge GmbH;2000;SEIL;     2;     2;     2;     0,7;     6,3;;    1100;;    1000;    1100;    2100;    2200;    2100;21259;ZS2;    3558763,4029999999;    5804336,7460000003;Aufzug zu Gleis 1/2
GLEIS 2/3;Bahnsteig 02 Gl. 2/3;10084523;Personenaufzug Nr. 21257 Tepper;Dedensen / Gümmer;1145;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     2;     2;     0,39;     4,47;;    1000;;;;;;;;;    3535570,4389999998;    580308,87600000005;Aufzug zu Gleis 2/3
BAHNSTEIG 2;Bahnsteig 2;10084761;Bstg. 2, Personenaufzug (IHL), HA 381;Mössingen;4189;Stricker Aufzüge Gmbh;1999;HYDRAULISCH;     2;     2;     2;     0,53;     5;BAHNSTEIG;    700;;;;;;;;;    3503499,6290000002;    5362922,0599999996;Aufzug zu Bstg 2
2.WESTTUNNEL;2. Westtunnel;10085128;AZ Gl. 10-11 (West)/Fabrik-Nr: 284010032;Berlin Ostbahnhof;530;Christian Hein GmbH;2011;HYDRAULISCH;     2;     1;     1;     1;     6,869000000000001;;    1000;"GL10/11WEST;AUSGANG";    1000;    960;    2200;    2100;    2100;284010032;ZS2;;;Aufzug zwischen Gleis 10/11 und Tunnel (West)
2.WESTTUNNEL;2. Westtunnel;10085129;AZ Gl. 8-9 (West) / Fabrik-Nr: 284010033;Berlin Ostbahnhof;530;Christian Hein GmbH;2011;HYDRAULISCH;     2;     1;     1;     1;     6,869000000000001;;    1000;"GL8/9WEST;AUSGANG";    1000;    960;    2200;    2100;    2100;284010033;ZS2;;;Aufzug zwischen Gleis 8/9 und Tunnel (West)
2.WESTTUNNEL;2. Westtunnel;10085130;AZ Gl. 6-7 (West) / Fabrik-Nr: 284010034;Berlin Ostbahnhof;530;Christian Hein GmbH;2011;HYDRAULISCH;     2;     1;     1;     1;     6,869000000000001;;    1000;"GL6/7WEST;AUSGANG";    1000;    960;    2200;    2100;    2100;284010034;ZS2;;;Aufzug zwischen Gleis 6/7 und Tunnel (West)
BSTG. 1;Bahnsteig Gleis 1;10085413;Personenaufzug  (HA 4232);Neumarkt (Oberpf);4416;Thyssen Krupp AG;2002;SEIL;     2;     2;     2;;     4,1;INTEGRIERT;    1050;GLEIS 1;    900;    2100;    1100;    2200;    2100;25251061;ES1;    3678848,0830000001;    5462493,6229999997;Aufzug zu Gleis 1
UNTERFÜHRUNG ZUM BAHNSTEIG;S-Bahnsteig 01 (Richtung Roth/Nbg);10086014;PA Fa. Otis  (HA 4017), PU zum Bstg.;Nürnberg-Sandreuth;4609;OTIS GmbH & Co. OHG;2001;HYDRAULISCH;     2;     2;     2;     0,5;     7,2;GLEIS S-BAHN;    1050;BAHNSTEIGMITTE;    900;    2100;    1100;    2200;    2100;47KP2414;ES2;    3649123,2620000001;    5479015,1960000005;Aufzug zwischen Bstg 1 Richtung Roth/Nürnberg und Tunnel
BAHNSTEIG 1;S-Bahnsteig 01 (Richtung Roth);10086023;PA Fa. Otis  (HA 4015), Bstg. 1 Ri Roth;Nürnberg-Eibach;4599;OTIS GmbH & Co. OHG;2000;HYDRAULISCH;     2;     2;     2;     0,5;     3,25;GLEIS 1;    1050;BAHNSTEIGMITTE;    900;    2100;    1100;    2200;    2100;47KP2415;ES2;;;Aufzug zu Bstg 1 Richtung Roth
BAHNSTEIG 1/2;Bahnsteig Gleis  1/2;10086059;PA Fa. Otis  (HA 4014), Bstg. 1/2;Nürnberg-Reichelsdorf;4608;OTIS GmbH & Co. OHG;2001;HYDRAULISCH;     2;     1;     2;     0,5;     4,350000000000001;GLEIS 1/2;    1000;BAHNSTEIGENDE NORD;    900;    2100;    1100;    2200;    2100;47KP2417;ES2;;;Aufzug zu Gleis 1/2
BAHNSTEIG1 NACH BAHNSTEIG11/12;Aufzugsschacht;10086275;Personenaufzug 47 KAE 849 Bstg.11/12;Osnabrück Hbf;4787;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     5,44;FAHRSTUHLSCHACHT;    2000;BAHNSTEIG 11/12 ZU BAHNSTEIG 1;    1000;    2920;    1340;    2200;    2100;47KAE849;;;;Aufzug zwischen Bstg 11/12 und Bstg 1
BSTG 1 NACH BSTG 13/14;Aufzugsschacht;10086276;Personenaufzug 47 KAE 850 Bstg.13/14;Osnabrück Hbf;4787;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     5,44;FAHRSTUHLSCHACHT;    2000;BAHNSTEIG 13/14 ZU BAHNSTEIG 1;    1000;    2920;    1340;    2200;    2100;47KAE850;;;;Aufzug zwischen Bstg 13/14 und Bstg 1
BAHNSTEIG 2/3;S-Bahnsteig 02 / Zugang West - Richt.Nür;10086916;PA Fa. Otis (HA 4016), Bst. 2/3 Ri Nür;Nürnberg-Eibach;4599;OTIS GmbH & Co. OHG;2000;HYDRAULISCH;     2;     1;     2;     0,5;     4,54;GLEIS 2/3;    1000;BAHNSTEIGENDE NORD;    900;    2100;    1100;    2200;    2100;47KP2416;ES2;;;"Aufzug zu Bstg 2 Richtung Nürnberg ; Zugang West"
AUFZUG BSTG. 2;Lichtentanne (Sachs) Bahnsteig 2;10087414;Personenaufzug 2  - Bstg. 2;Lichtentanne (Sachs);3705;Friedrich-Aufzüge GmbH & Co. K;1998;HYDRAULISCH;     2;     1;     2;     0,4;     4,33;;    1000;;;;;;;;;    3741620,8739999998;    5623777,2869999995;Aufzug zu Bstg 2
VORPLATZ;Lichtentanne (Sachs.)  - Zuwegung;10087415;Personenaufzug 1 - Vorplatz;Lichtentanne (Sachs);3705;Friedrich-Aufzüge GmbH & Co. K;1998;HYDRAULISCH;     2;     2;     2;     0,4;     4,33;;    1000;;;;;;;;;    3741625,128;    5623758,3269999996;
UNTERGESCHOSS / BAUTEIL - 3; 1. Ebene --- UG;10087991;AZ Halle UG-OG (Panorama)/F-Nr 244099706;Berlin Ostbahnhof;530;Thyssen Krupp AG;2000;INDIREKT HYDRAULISCH;     3;     2;     2;     0,6;     8,4;;    1425;"UG;EG;OG HAUPTHALLE";    1000;    2430;    1260;    2200;    2100;244099706;ZS2;;;
UNTERGESCHOSS / BAUTEIL - 4;Flur 1 Süd 4.U.23 3xAZ;10088010;AZ A3.1 IC-Hotel (NRR) / Fabrik-Nr: 9598;Berlin Ostbahnhof;530;Vestner;1999;INDIREKT HYDRAULISCH;     2;     2;     2;     0,63;     4,2;INNEN;    675;PASSAGE BT 4;    1100;    1350;    2100;    2300;    2200;9598;ZS2;;;
UNTERGESCHOSS / BAUTEIL - 4;Flur 1 Süd 4.U.23 3xAZ;10088011;AZ A3.2 IC-Hotel (NRR) / Fabrik-Nr: 9599;Berlin Ostbahnhof;530;Vestner;1999;INDIREKT HYDRAULISCH;     2;     2;     2;     0,63;     4,2;INNEN;    675;PASSAGE BT 4;    1100;    1350;    2100;    2300;    2200;9599;ZS2;;;
BAHNSTEIG 2;Lengenfeld (V) Bahnsteig 02;10088605;Personenaufzug - Bstg. 2;Lengenfeld (Vogtl);3660;Haushahn GmbH & Co. KG;1997;HYDRAULISCH;     2;     2;     2;     0,4;     3,13;AUßEN;    630;;;;;;;;;    3739002,1359999999;    5609601,6699999999;Aufzug zu Bstg 2
TUNNEL;Bahnsteig 2/3;10088751;Personenaufzug OTIS 47 KAA 499;Bad Pyrmont;319;OTIS GmbH & Co. OHG;2005;SEIL;     2;     1;     2;     1;     4,23;;    1070;;;;;;;;;    3518813,1919999998;    5760071,5;
BAHNSTEIG A GLEIS 1;Bahnsteig A Gleis 1 (220 m);10088968;Personenaufzug 47 NAE 283;Bienenbüttel;625;OTIS GmbH & Co. OHG;2005;SEIL;     2;     1;     2;     1;     4,39;BAHNSTEIG A GLEIS 1;    1025;;;;;;;;;    3599390,9670000002;    5891035,4239999996;Aufzug zu Gleis 1
BAHNSTEIG B GLEIS 3;Bahnsteig B Gleis 3 (220 m);10088990;Personenaufzug 47 NAE 282;Bienenbüttel;625;OTIS GmbH & Co. OHG;2005;SEIL;     2;     1;     1;     1;     4,32;BAHNSTEIG B GLEIS 3;    1025;;;;;;;;;    3599403,0359999998;    5891054,3269999996;Aufzug zu Gleis 3
BAHNSTEIG 3/4;Bahnsteig 03/04;10089428;AZ Gl. 3/4 Fab. 244098710;Neustrelitz Hbf;4460;Thyssen Krupp AG;2000;HYDRAULISCH;     2;     1;     2;     0,4;     4,32;NEBEN;    975;"GL3/4;TUNNEL";    1000;    1450;    1500;    2100;    2300;244098710;ES2;;;Aufzug zwischen Gleis 3/4 und Tunnel
MITTEL BAHNSTEIG;Bahnsteig 1/2;10089684;Personenaufzug Nr. 21289;Burgdorf (Han);982;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     2;     2;     0,4;     4,21;;    1100;;    1000;    2100;    1100;    2200;    2100;21289;ZS2;    3568251,2420000001;    5813299,1179999998;Aufzug zu Bstg 1/2
VOM PU ZUM BSTG GL 1/5;Personentunnel  01;10090640;AZ 47 KK 6683 GL 1/5;Hennigsdorf (b Berlin);2691;OTIS GmbH & Co. OHG;1999;HYDRAULISCH;     2;     2;     2;     0,6;     6,157;AUßEN;    1425;"PU; BSTG GL 1/5";    900;    2100;    1100;    2300;    2100;47 KK 6683;ZS2;    3784717,8459999999;    5842180,5389999999;Aufzug zwischen Gleis 1/5 und Tunnel
EMPFANGSGEBÄUDE;Werdau Erdgeschoss;10090646;Personenaufzug 1 - Empfangshalle;Werdau;6678;Thyssen Krupp AG;2001;HYDRAULISCH;     2;     2;     2;     0,4;     3,85;INNEN;    675;;;;;;;;;    3737811,977;    5626519,2810000004;
BSTG. 1/2;Werdau Bahnsteig 1;10090656;Personenaufzug 2  - Bstg. 1/2;Werdau;6678;Thyssen Krupp AG;2001;HYDRAULISCH;     2;     1;     2;     0,4;     4,19;AUßEN;    630;;;;;;;;;    3737799,8459999999;    5626522,0750000002;Aufzug zu Bstg 1/2
BSTG. 3/4;Werdau Bahnsteig 3;10090660;Personenaufzug  Bstg. 3/4;Werdau;6678;Thyssen Krupp AG;2001;HYDRAULISCH;     2;     1;     2;     0,4;     4,19;AUßEN;    2000;;;;;;;;;    3737780,8849999998;    5626525,1399999997;Aufzug zu Bstg 3/4
BAHNSTEIG E GLEIS 102/103;Bahnsteig E Gleis 102/103;10091217;Personenaufzug 47 NAE 580;Uelzen;6310;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     4,15;BAHNSTEIG E GLEIS 102/103;    1050;;;;;;;;;    3604463,4330000002;    5871970,1030000001;Aufzug zu Gleis 102/103
TUNNEL/BSTG.1;Bahnsteig 1, Gleis 1;10091721;Personenaufzug Bstg.1 HA087;Lüneburg;3855;Tepper Aufzüge GmbH;2002;SEIL;     2;     1;     2;     0,63;     4,1;TUNNEL,BAHNSTEIG;    900;;;;;;;;;    3594828,3739999998;    5902899,5219999999;Aufzug zwischen Bstg 1 und Tunnel
BAHNSTEIG D GLEIS 101;Bahnsteig D Gleis 101;10092034;Personenaufzug 22559;Uelzen;6310;Tepper Aufzüge GmbH;2000;SEIL;     2;     1;     2;     0,63;     4;BAHNSTEIG D GLEIS 101;    1000;;;;;;;;;    3604447,5440000002;    5871977,3629999999;Aufzug zu Gleis 101
AUFZUG ZUM GL. 2 U. 3;Bahnsteig 2/3;10092552;Personenaufzug Nr. 21299 (Gl. 2/3);Hameln;2525;Tepper Aufzüge GmbH;2000;HYDRAULISCH;     2;     1;     2;     0,4;     4,12;;    1100;;;;;;;;;    3525808,5610000002;    5774256,284;Aufzug zu Gleis 2/3
GLEIS 1/2;S-Bahnsteig 01(neu);10092567;Personenaufzug 20617;Hannover-Leinhausen;2550;Tepper Aufzüge GmbH;1997;HYDRAULISCH;     2;     1;     2;     0,6;     7,7;;    800;;    900;    1650;    1200;    2200;    2000;20617;ZS2;    3546051,4219999998;    5807270,5049999999;Aufzug zu Gleis 1/2
GL. 1/2;Bahnsteig 1/2;10092639;Personenaufzug  Nr. 21287;Hannover Bismarckstraße;2544;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,39;     6,23;;    1000;;    1000;    1500;    1400;    2200;    2100;;;    3552492,446;    5802881,5140000004;Aufzug zu Gleis 1/2
GL. 3/4;Bahnsteig 3/4;10092643;Personenaufzug Nr. 21288;Hannover Bismarckstraße;2544;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,39;     6,3;;    1000;;    1000;    1500;    1400;    2200;    2100;21288;;    3552508,4199999999;    5802886,8130000001;Aufzug zu Gleis 3/4
GLEIS 1;Bahnsteig 01;10093183;Personenaufzug Nr. 21272 (Gl. 1);Hannover-Kleefeld;2549;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,39;     5,96;;    1000;;    1000;    2100;    1100;    2200;    2100;21272;ZS2;    3553910,702;    5804782,2479999997;Aufzug zu Gleis 1
GLEIS 1/2;S-Bahnsteig 01;10093227;Personenaufzug 21130;Hannover-Nordstadt;7899;Tepper Aufzüge GmbH;1997;HYDRAULISCH;     2;     2;     2;     0,63;     7,07;;    750;;    900;    1414;    1414;    2100;    2000;21130;ZS2;;;Aufzug zu Gleis 1/2
GLEIS 2/3;Bahnsteig 1;10093597;Personenaufzug Nr. 21274;Langenhagen-Mitte;7179;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,4;     5,15;;    1100;;    1000;    2100;    1100;    2200;    2100;21274;ZS2;    3549428,557;    5812204,6100000003;Aufzug zu Gleis 2/3
GLEIS 4;Bahnsteig 2/3;10093602;Personenaufzug Nr. 21275;Langenhagen-Mitte;7179;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,4;     5,15;;    1100;;    1000;    2100;    1100;    2200;    2100;21275;ZS2;    3549441,5449999999;    5812196,3990000002;Aufzug zu Gleis 4
GLEIS 1;Bahnsteig 4;10093606;Personenaufzug Nr. 21273;Langenhagen-Mitte;7179;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,4;     5,15;;    1100;;    1000;    2100;    1100;    2200;    2100;21273;ZS2;    3549454,3840000001;    5812187,7400000002;Aufzug zu Gleis 1
TERMINAL C;S-Bahnsteig 01;10094430;Personenaufzug Nr. 313711 I/W. d Flghf.;Hannover-Flughafen;7180;Schindler Aufzüge und Fahrtrep;2000;SEIL;     3;     2;     4;     1,6;    15,960000000000001;;    1875;;;;;;;;;    3547567,1170000001;    5814148,6960000005;
AUFZUGSANLAGE 300804;Bahnsteig A;10095022;AZ Gl. 1-2 (Regio) / Fabrik-Nr: 300804;Berlin-Friedrichstraße;527;Rangger Aufzüge GmbH;1998;INDIREKT HYDRAULISCH;     2;     2;     4;     0,62;     7,725000000000001;BAHNSTEIG A;    1250;"GL1/2;HAUPTHALLE";    900;    2200;    1300;    2200;    2150;300804;ZS2;;;Aufzug zwischen Gleis 1/2 und Empfangsgebäude
AUFZUGSANLAGE 300803;Bahnsteig B;10095230;AZ Gl. 3-4 (Regio) / Fabrik-Nr: 300803;Berlin-Friedrichstraße;527;Rangger Aufzüge GmbH;1998;INDIREKT HYDRAULISCH;     2;     2;     4;     0,62;     7,725000000000001;BSTG. B;    1250;"GL3/4;HAUPTHALLE";    900;    2200;    1300;    2200;    2150;300803;ZS2;;;Aufzug zwischen Gleis 3/4 und Empfangsgebäude
GLEIS 3/4;Bahnsteig 3/4;10095521;Personenaufzug Nr. 21298 Tepper;Langenhagen Pferdemarkt;3539;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,4;     4,03;;    1100;;    1000;    2100;    1100;    2200;    2100;21298;ZS2;    3550102,2459999998;    5813355,2539999997;Aufzug zu Gleis 3/4
GLEIS 14;Bahnsteig 13/14;10095710;Personenaufzug Nr.21279 Tepper;Lehrte;3620;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,39;     5,45;;    1100;;    1000;    2100;    1100;    2200;    2100;21279;ZS2;    3566440,503;    5805272,0049999999;Aufzug zu Gleis 13/14
GL. 20/21;Empfangsgebäude;10096734;Aufzug HA 4389 Unterführung;Fürth (Bay) Hbf;1984;Thyssen Krupp AG;1985;HYDRAULISCH;     2;     1;     2;     0,4;     4;WARTEHALLE/UNTERFUEHRUNG;    630;EG;    800;    1400;    1120;    2050;    2000;255264165;ES2;;;
PTU ZUM BAHNSTEIG 1;Bahnsteig 1;10096753;AZ 1 Gl. 1  Fabrik.Nr.:315040;Neustadt (Dosse);4446;Schindler Aufzüge und Fahrtrep;1999;HYDRAULISCH;     2;     2;     2;     0,43;     4,8;ZUGANG ZUR STADT BSTG 1 U. PTU;    1025;ZUGANG ZUR STADT BSTG 1 U. PTU;    905;    2350;    1150;    2150;    2100;315040;ZS2;    3732475,2009999999;    5863383,5520000001;"Aufzug zwischen Gleis 1 und Tunnel ; Ausgang Stadt"
BAHNSTEIG 2/3 UND PTU;Bahnsteig 2/3;10096754;AZ 2 Gl. 2/3 Fabrik.Nr.:315041;Neustadt (Dosse);4446;Schindler Aufzüge und Fahrtrep;1999;HYDRAULISCH;     2;     2;     2;     0,45;     4,8;BSTG 2/3 U. PTU;    630;BSTG 2/3 U. PTU;    905;    1470;    1110;    2150;    2100;315041;ZS2;    3732491,3990000002;    5863390,4189999998;Aufzug zwischen Gleis 2/3 und Tunnel
PTU UND KAMPHELERSTR.;Bahnhofsvorplatz  Ausg.Kamphler Str.;10096755;AZ 3  PU zu Ausgang Fabrik.Nr.:315042;Neustadt (Dosse);4446;Schindler Aufzüge und Fahrtrep;1999;HYDRAULISCH;     2;     2;     2;     0,43;     4,16;BSTG 4/5 UND PTU;    1025;BSTG 4/5 UND PTU;    905;    2350;    1150;    2150;    2100;315042;ZS2;    3732495,5800000001;    5863403,7060000002;"Aufzug zwischen Bstg 4/5 und Tunnel ; Ausgang Kampehler Str."
BAHNSTEIG 1;Netzschkau Bahnsteig 1;10096765;Personenaufzug - Bstg. 1;Netzschkau;4349;Orba-Lift Aufzugsdienst GmbH;1999;HYDRAULISCH;     2;     2;     2;     0,37;     5,7;;    1050;;;;;;;;;    3729701,48;    5613391,8559999997;
GLEIS 2/3;Bahnsteig 2/3;10096839;Personenaufzug Tepper 21300;Neustadt a Rübenberge;4455;Tepper Aufzüge GmbH;2000;HYDRAULISCH;     2;     1;     2;     0,63;     5,41;;    1100;;;;;;;;;    3530985,6009999998;    5819000,0829999996;Aufzug zu Gleis 2/3
